file	sound_id	user	slug	url	license
player_step_walk_01.mp3	459970	florianreichelt		https://freesound.org/people/florianreichelt/sounds/459970/	CC0
player_step_walk_02.mp3	366111	WakuWakuWakuWaku		https://freesound.org/people/WakuWakuWakuWaku/sounds/366111/	CC0
player_step_sprint_01.mp3	682772	thomasanthony321		https://freesound.org/people/thomasanthony321/sounds/682772/	CC0
player_pant_loop.mp3	841349	qubodup		https://freesound.org/people/qubodup/sounds/841349/	CC0
flashlight_click.mp3	502506	Rudmer_Rotteveel		https://freesound.org/people/Rudmer_Rotteveel/sounds/502506/	CC0
door_handle.mp3	214002	FenrirFangs		https://freesound.org/people/FenrirFangs/sounds/214002/	CC0
note_rustle.mp3	731484	Spaghetto87		https://freesound.org/people/Spaghetto87/sounds/731484/	CC0
crouch_rustle.mp3	617019	dynamique		https://freesound.org/people/dynamique/sounds/617019/	CC0
fuse_pickup.mp3	698136	alexdarek		https://freesound.org/people/alexdarek/sounds/698136/	CC0
fuse_insert.mp3	778443	BlondPanda		https://freesound.org/people/BlondPanda/sounds/778443/	CC0
breaker_engage.mp3	149194	Mxsmanic		https://freesound.org/people/Mxsmanic/sounds/149194/	CC0
door_unlock.mp3	669148	Gerent		https://freesound.org/people/Gerent/sounds/669148/	CC0
death_sting.mp3	846789	hotpin7		https://freesound.org/people/hotpin7/sounds/846789/	CC0
